date,extent_pct,invalid_pct,max_invalid_pct,baseline_extent_pct,usable_month,quality_state,hy_year,phase,phase_status,is_hy_peak,is_hy_mid_dry,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route
2013-07-01,0.14542064979122865,3.0463267688354576,20.0,0.196424,True,usable,2013,dry,ok,False,False,False,False,,True,9,seasonal,per_year_detection
2013-08-01,0.13963757984155514,3.039822522681466,20.0,0.196424,True,usable,2013,dry,ok,False,False,False,False,,True,9,seasonal,per_year_detection
2013-09-01,0.12178827275318048,3.0340940497661797,20.0,0.196424,True,usable,2013,dry,ok,False,False,False,False,,True,9,seasonal,per_year_detection
2013-10-01,0.10569347753665927,3.1141089348131223,20.0,0.196424,True,usable,2013,dry,ok,False,False,False,False,,True,9,seasonal,per_year_detection
2013-11-01,0.09218107928888301,3.4713075980496733,20.0,0.196424,True,usable,2013,dry,ok,False,False,True,False,,True,9,seasonal,per_year_detection
2013-12-01,0.14744845325877715,3.0394428020962048,20.0,0.196424,True,usable,2014,recovery,provisional,False,False,False,False,,True,9,seasonal,per_year_detection
2014-01-01,0.3109287735048439,6.543149140404463,20.0,0.196424,True,usable,2014,recovery,provisional,False,False,False,True,11,False,,seasonal,per_year_detection
2014-02-01,1.5395124894101406,27.881163625560717,20.0,0.196424,True,low,2014,wet,provisional,True,False,False,True,11,False,,seasonal,per_year_detection
2014-03-01,0.29668912567595507,4.222423496815839,20.0,0.196424,True,usable,2014,recession,provisional,False,False,False,True,11,False,,seasonal,per_year_detection
2014-04-01,0.23383604338374298,4.584227803280076,20.0,0.196424,True,usable,2014,dry,provisional,False,False,False,True,11,False,,seasonal,per_year_detection
2014-05-01,0.20611222408153532,3.110858853244649,20.0,0.196424,True,usable,2014,dry,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2014-06-01,0.17492864813451475,3.0273039924189806,20.0,0.196424,True,usable,2014,dry,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2014-07-01,0.16446561622289513,3.029794632816931,20.0,0.196424,True,usable,2014,dry,provisional,False,True,False,False,,False,,seasonal,per_year_detection
2014-08-01,0.14823295019957416,3.048523432006109,20.0,0.196424,True,usable,2014,dry,provisional,False,False,False,False,,True,10,seasonal,per_year_detection
2014-09-01,0.13284532836737323,3.0460654557445253,20.0,0.196424,True,usable,2014,dry,provisional,False,False,False,False,,True,10,seasonal,per_year_detection
2014-10-01,0.11568308670824452,3.041521057772527,20.0,0.196424,True,usable,2014,dry,provisional,False,False,False,False,,True,10,seasonal,per_year_detection
2014-11-01,0.1046043074591044,3.030386670288575,20.0,0.196424,True,usable,2014,dry,provisional,False,False,True,False,,True,10,seasonal,per_year_detection
2014-12-01,0.12693894728719696,4.331035833251707,20.0,0.196424,True,usable,2015,recovery,ok,False,False,False,False,,True,10,seasonal,per_year_detection
2015-01-01,0.5968413368268981,14.073767787306496,20.0,0.196424,True,usable,2015,wet,ok,True,False,False,True,12,False,,seasonal,per_year_detection
2015-02-01,0.3347474354345721,3.882785889893361,20.0,0.196424,True,usable,2015,recession,ok,False,False,False,True,12,False,,seasonal,per_year_detection
2015-03-01,0.28611265114733053,3.450406633792119,20.0,0.196424,True,usable,2015,dry,ok,False,False,False,True,12,False,,seasonal,per_year_detection
2015-04-01,0.1632303027659385,3.0263363173791213,20.0,0.196424,True,usable,2015,dry,ok,False,False,False,False,,False,,seasonal,per_year_detection
2015-05-01,0.1560901320930112,3.032023960123949,20.0,0.196424,True,usable,2015,dry,ok,False,False,False,False,,True,11,seasonal,per_year_detection
2015-06-01,0.14091069556628677,3.0900354663109653,20.0,0.196424,True,usable,2015,dry,ok,False,True,False,False,,True,11,seasonal,per_year_detection
2015-07-01,0.13452404192993025,3.038846681607515,20.0,0.196424,True,usable,2015,dry,ok,False,False,False,False,,True,11,seasonal,per_year_detection
2015-08-01,0.12704335394454414,3.0309052134533943,20.0,0.196424,True,usable,2015,dry,ok,False,False,False,False,,True,11,seasonal,per_year_detection
2015-09-01,0.11510265794368783,3.0421130952441713,20.0,0.196424,True,usable,2015,dry,ok,False,False,False,False,,True,11,seasonal,per_year_detection
2015-10-01,0.10204509554496274,3.0271855849246516,20.0,0.196424,True,usable,2015,dry,ok,False,False,False,False,,True,11,seasonal,per_year_detection
2015-11-01,0.09438500677812657,3.1340667221330922,20.0,0.196424,True,usable,2015,dry,ok,False,False,True,False,,True,11,seasonal,per_year_detection
2015-12-01,0.19775462034266028,6.248686034076942,20.0,0.196424,True,usable,2016,wet,ok,False,False,False,False,,False,,seasonal,per_year_detection
