catchment,comparison,hy_year,change,peak_month_before,peak_month_after,peak_extent_pct_before,peak_extent_pct_after,peak_quality_before,peak_quality_after,raw_trough_month_before,raw_trough_month_after,raw_trough_extent_pct_before,raw_trough_extent_pct_after,trough_interval_start_before,trough_interval_start_after,trough_interval_end_before,trough_interval_end_after,trough_timing_status_before,trough_timing_status_after,recovery_start_month_before,recovery_start_month_after,status_before,status_after,status_reason_before,status_reason_after,boundary_status_before,boundary_status_after,cycle_months_before,cycle_months_after,n_usable_months_before,n_usable_months_after,trough_refinement_applied_before,trough_refinement_applied_after,trough_refinement_reason_before,trough_refinement_reason_after,annual_condition_before,annual_condition_after,confidence_before,confidence_after,trough_month_before,trough_month_after
daly_river_nt,current_default_vs_corrected_refinement,2023,"status_changed,value_changed",2023-01-01,2023-01-01,0.4940486426666896,0.4940486426666896,normal,normal,2023-11-01,2023-11-01,0.1271653451339133,0.1271653451339133,2023-09-01,2023-09-01,2023-11-01,2023-11-01,interval,interval,,,complete,partial,ok,trough_refinement_fallback,confirmed,provisional,11.0,11.0,11.0,11.0,False,False,not_requested,unstable_quality_sensitivity,insufficient_baseline,insufficient_baseline,high,low,2023-11-01,2023-11-01
daly_river_nt,current_default_vs_corrected_refinement,2024,"boundary_shifted,interval_width_changed,status_changed,value_changed",2024-03-01,2024-03-01,1.2728859747306895,1.2728859747306895,normal,normal,2024-09-01,2024-09-01,0.1481431414539679,0.1481431414539679,2024-09-01,2024-09-01,2024-09-01,2024-12-01,point,broad,,,complete,partial,ok,boundary_provisional,confirmed,provisional,10.0,13.0,10.0,13.0,False,True,not_requested,essential_low_quality_recovery,insufficient_baseline,insufficient_baseline,high,medium,2024-09-01,2024-12-01
daly_river_nt,current_default_vs_corrected_refinement,2025,value_changed,2025-02-01,2025-02-01,0.4067364466514648,0.4067364466514648,normal,normal,2025-12-01,2025-12-01,0.0811461680341347,0.0811461680341347,2025-12-01,2025-12-01,2025-12-01,2025-12-01,point,point,,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,15.0,12.0,15.0,12.0,False,False,not_requested,open_span,insufficient_baseline,insufficient_baseline,medium,low,2025-12-01,2025-12-01
fitzroy_river_wa,old_refinement_vs_corrected_refinement,2005,"boundary_shifted,interval_width_changed,value_changed",2005-03-01,2005-03-01,0.1193405802163906,0.1193405802163906,normal,normal,2005-10-01,2005-10-01,0.0248721010944467,0.0248721010944467,2005-10-01,2005-10-01,2005-10-01,2005-11-01,point,interval,2005-11-01 00:00:00,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,10.0,11.0,10.0,11.0,True,True,low_quality_peak,low_quality_peak,dry_low_refuge,dry_low_refuge,medium,medium,2005-10-01,2005-11-01
fitzroy_river_wa,old_refinement_vs_corrected_refinement,2006,value_changed,2006-01-01,2006-01-01,0.7029518145170444,0.7029518145170444,anomalous,anomalous,2006-10-01,2006-10-01,0.0191190562321234,0.0191190562321234,2006-10-01,2006-10-01,2006-10-01,2006-10-01,point,point,2006-11-01 00:00:00,2006-11-01 00:00:00,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,12.0,11.0,12.0,11.0,True,True,low_quality_peak,low_quality_peak,typical_or_mixed,typical_or_mixed,medium,medium,2006-10-01,2006-10-01
fitzroy_river_wa,old_refinement_vs_corrected_refinement,2007,"boundary_shifted,interval_width_changed,value_changed",2007-03-01,2007-03-01,0.2858799995626491,0.2858799995626491,anomalous,anomalous,2007-10-01,2007-10-01,0.0262045417038359,0.0262045417038359,2007-10-01,2007-10-01,2007-10-01,2007-11-01,point,interval,2007-11-01 00:00:00,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,12.0,13.0,12.0,13.0,True,True,low_quality_peak,low_quality_peak,dry_low_refuge,typical_or_mixed,medium,medium,2007-10-01,2007-11-01
fitzroy_river_wa,old_refinement_vs_corrected_refinement,2008,value_changed,2008-02-01,2008-02-01,0.2751062888417283,0.2751062888417283,anomalous,anomalous,2008-11-01,2008-11-01,0.0249481810131926,0.0249481810131926,2008-11-01,2008-11-01,2008-11-01,2008-11-01,point,point,2008-12-01 00:00:00,2008-12-01 00:00:00,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,13.0,12.0,13.0,12.0,True,True,low_quality_peak,low_quality_peak,dry_low_refuge,dry_low_refuge,medium,medium,2008-11-01,2008-11-01
fitzroy_river_wa,old_refinement_vs_corrected_refinement,2011,"boundary_shifted,interval_width_changed,value_changed",2011-03-01,2011-03-01,3.728342680952061,3.728342680952061,anomalous,anomalous,2011-09-01,2011-09-01,0.0521425736192478,0.0521425736192478,2011-09-01,2011-09-01,2011-09-01,2011-12-01,point,broad,2011-10-01 00:00:00,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,13.0,16.0,13.0,16.0,True,True,low_quality_peak,low_quality_peak,wet_persistent,wet_persistent,medium,medium,2011-09-01,2011-12-01
fitzroy_river_wa,old_refinement_vs_corrected_refinement,2012,value_changed,2012-03-01,2012-03-01,0.3019034221144441,0.3019034221144441,normal,normal,2012-12-01,2012-12-01,0.0196893453376487,0.0196893453376487,2012-09-01,2012-09-01,2012-10-01,2012-10-01,interval,interval,,,partial,partial,trough_refinement_fallback,trough_refinement_fallback,provisional,provisional,13.0,10.0,13.0,10.0,False,False,unstable_quality_sensitivity,unstable_quality_sensitivity,typical_or_mixed,typical_or_mixed,low,low,2012-10-01,2012-10-01
fitzroy_river_wa,old_refinement_vs_corrected_refinement,2013,value_changed,2013-03-01,2013-03-01,0.1945817754905184,0.1945817754905184,normal,normal,2013-11-01,2013-11-01,0.0299345378696371,0.0299345378696371,2013-11-01,2013-11-01,2013-11-01,2013-11-01,point,point,2013-12-01 00:00:00,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,13.0,13.0,13.0,13.0,True,True,essential_low_quality_recovery,essential_low_quality_recovery,typical_or_mixed,typical_or_mixed,medium,medium,2013-11-01,2013-11-01
