catchment,hy_year,scenario,injected_floor_pp,published_boundary,published_refinement_reason,status,reason,boundary,boundary_candidates,low_state_start,low_state_end,recovery_start,pulse_months,local_scale_pp,best_loss,effective_support,policy_version,loss_basis
fitzroy_river_wa,2008,record_floor_sensitivity_only,0.0148253438173371,2008-11-01,low_quality_peak,provisional,low_quality_peak,2008-11-01,"(Timestamp('2008-08-01 00:00:00'), Timestamp('2008-09-01 00:00:00'), Timestamp('2008-10-01 00:00:00'), Timestamp('2008-11-01 00:00:00'), Timestamp('2008-12-01 00:00:00'))",2008-11-01,2008-11-01,2008-12-01,(),0.0148253438173371,0.5291845312044826,12.163784981858182,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2009,existing,0.0,2009-11-01,accepted,confirmed,accepted,2009-11-01,"(Timestamp('2009-11-01 00:00:00'),)",2009-11-01,2009-11-01,2009-12-01,(),9.523857441758698e-07,17192.933838562807,11.51796919734333,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2009,record_floor_sensitivity_only,0.0148253438173371,2009-11-01,accepted,confirmed,accepted,2009-11-01,"(Timestamp('2009-09-01 00:00:00'), Timestamp('2009-10-01 00:00:00'), Timestamp('2009-11-01 00:00:00'), Timestamp('2009-12-01 00:00:00'))",2009-11-01,2009-11-01,2009-12-01,(),0.0148253438173371,0.19311085088794383,11.51796919734333,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2010,existing,0.0,2010-08-01,unstable_quality_sensitivity,unresolved,unstable_quality_sensitivity,,"(Timestamp('2010-09-01 00:00:00'),)",2010-09-01,2010-09-01,,"(Timestamp('2010-07-01 00:00:00'),)",1.0231883016098405e-06,88217.96902394173,12.652618033697838,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2010,record_floor_sensitivity_only,0.0148253438173371,2010-08-01,unstable_quality_sensitivity,unresolved,unstable_quality_sensitivity,,"(Timestamp('2010-08-01 00:00:00'), Timestamp('2010-09-01 00:00:00'), Timestamp('2010-10-01 00:00:00'), Timestamp('2010-11-01 00:00:00'), Timestamp('2010-12-01 00:00:00'))",2010-09-01,2010-09-01,,(),0.0148253438173371,3.8410583201656867,12.652618033697838,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2011,existing,0.0,2011-12-01,low_quality_peak,provisional,low_quality_peak,2011-12-01,"(Timestamp('2011-09-01 00:00:00'), Timestamp('2011-10-01 00:00:00'), Timestamp('2011-11-01 00:00:00'), Timestamp('2011-12-01 00:00:00'))",2011-09-01,2011-12-01,,(),1.0349598251364999e-06,47926.13367728295,8.646103583441356,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2011,record_floor_sensitivity_only,0.0148253438173371,2011-12-01,low_quality_peak,provisional,low_quality_peak,2011-12-01,"(Timestamp('2011-09-01 00:00:00'), Timestamp('2011-10-01 00:00:00'), Timestamp('2011-11-01 00:00:00'), Timestamp('2011-12-01 00:00:00'))",2011-09-01,2011-12-01,,(),0.0148253438173371,1.5051231381127161,8.646103583441356,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2012,existing,0.0,2012-10-01,unstable_quality_sensitivity,unresolved,unstable_quality_sensitivity,,"(Timestamp('2012-12-01 00:00:00'),)",2012-12-01,2012-12-01,,(),1.0199971356440437e-06,0.0,11.054085977576394,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2012,record_floor_sensitivity_only,0.0148253438173371,2012-10-01,unstable_quality_sensitivity,unresolved,unstable_quality_sensitivity,,"(Timestamp('2012-09-01 00:00:00'), Timestamp('2012-10-01 00:00:00'), Timestamp('2012-11-01 00:00:00'), Timestamp('2012-12-01 00:00:00'), Timestamp('2013-01-01 00:00:00'))",2012-12-01,2012-12-01,,(),0.0148253438173371,0.0,11.054085977576394,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2013,existing,0.0,2013-11-01,essential_low_quality_recovery,provisional,essential_low_quality_recovery,2013-11-01,"(Timestamp('2013-11-01 00:00:00'),)",2013-11-01,2013-11-01,,"(Timestamp('2013-05-01 00:00:00'),)",9.60775441380504e-07,2306.988762067554,8.658941123904087,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2013,record_floor_sensitivity_only,0.0148253438173371,2013-11-01,essential_low_quality_recovery,provisional,essential_low_quality_recovery,2013-11-01,"(Timestamp('2013-08-01 00:00:00'), Timestamp('2013-09-01 00:00:00'), Timestamp('2013-10-01 00:00:00'), Timestamp('2013-11-01 00:00:00'))",2013-11-01,2013-11-01,,(),0.0148253438173371,0.0032362371432041854,8.658941123904087,trough_refinement_candidate_0_2,standardized_huber
